Latitude (decimal degrees): -38.320
Longitude (decimal degrees): -71.960
Elevation (m): 747.0
Irradiance Time Offset (h): 0.0
month,year
1,2016
2,2006
3,2007
4,2006
5,2017
6,2022
7,2013
8,2010
9,2006
10,2016
11,2005
12,2016
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20160101:0000,14.23,85.95,0.85,0.0,0.85,329.43,2.03,223.0,93390.0
20160101:0100,14.16,85.53,0.0,-0.0,0.0,325.09,1.95,178.0,93440.0
20160101:0200,14.1,85.12,0.0,-0.0,0.0,320.76,1.86,123.0,93460.0
20160101:0300,14.03,84.7,0.0,-0.0,0.0,316.43,1.78,101.0,93460.0
20160101:0400,13.97,84.29,0.0,-0.0,0.0,312.09,1.69,93.0,93430.0
20160101:0500,13.91,83.87,0.0,-0.0,0.0,307.76,1.61,89.0,93400.0
20160101:0600,13.84,83.45,0.0,-0.0,0.0,303.42,1.52,90.0,93350.0
20160101:0700,13.78,83.04,0.0,-0.0,0.0,299.09,1.44,94.0,93330.0
20160101:0800,11.78,89.35,0.0,-0.0,0.0,307.1,1.86,93.0,93310.0
20160101:0900,11.56,89.3,0.0,-0.0,0.0,305.95,1.93,92.0,93300.0
20160101:1000,11.51,89.3,113.4,619.75,62.45,303.85,1.93,90.0,93330.0
20160101:1100,14.15,92.65,308.95,731.89,111.4,303.25,1.24,87.0,93320.0
20160101:1200,19.67,63.6,521.35,834.56,141.0,313.9,0.62,55.0,93300.0
20160101:1300,21.18,55.55,747.65,1008.08,115.55,318.55,1.17,327.0,93290.0
20160101:1400,22.02,55.8,878.55,925.19,164.2,316.05,2.0,301.0,93300.0
20160101:1500,22.45,54.0,816.8,740.51,164.35,318.75,2.34,298.0,93310.0
20160101:1600,22.67,54.0,924.95,844.04,126.05,326.5,2.62,302.0,93330.0
20160101:1700,23.27,50.45,819.95,710.75,134.8,338.65,3.1,305.0,93330.0
20160101:1800,23.17,50.45,769.65,584.23,225.0,338.5,3.38,301.0,93310.0
20160101:1900,22.64,54.0,673.05,633.9,132.0,352.0,3.38,289.0,93260.0
20160101:2000,22.38,52.1,472.85,499.7,106.5,337.7,3.17,283.0,93240.0
20160101:2100,21.75,55.65,387.7,497.49,99.5,342.55,2.69,262.0,93240.0
20160101:2200,21.03,59.6,218.65,368.81,70.2,339.85,2.83,238.0,93280.0
20160101:2300,19.7,65.85,75.65,224.39,27.45,340.4,2.83,229.0,93320.0
