Latitude (decimal degrees): 29.652
Longitude (decimal degrees): 91.172
Elevation (m): 3659.0
Irradiance Time Offset (h): 0.0
month,year
1,2021
2,2010
3,2008
4,2007
5,2007
6,2017
7,2013
8,2006
9,2013
10,2011
11,2015
12,2009
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20210101:0000,-6.11,54.24,0.0,-0.0,0.0,185.54,1.12,137.0,58860.0
20210101:0100,-5.0,49.1,28.0,0.0,28.0,183.29,1.25,135.0,58900.0
20210101:0200,-3.89,43.96,315.85,1261.02,50.5,181.03,1.38,138.0,58960.0
20210101:0300,-2.79,38.83,502.05,1178.53,59.65,178.77,1.51,167.0,59000.0
20210101:0400,-1.68,33.69,630.65,1117.87,69.95,176.52,1.64,189.0,59030.0
20210101:0500,-0.57,28.56,703.55,1093.01,69.15,174.26,1.77,196.0,58980.0
20210101:0600,0.54,23.42,696.15,1016.87,79.4,172.0,1.9,209.0,58900.0
20210101:0700,1.64,18.28,627.1,963.14,70.3,169.75,2.03,224.0,58810.0
20210101:0800,5.12,11.6,495.55,882.87,56.65,188.1,3.31,233.0,58730.0
20210101:0900,4.96,9.6,289.0,589.7,71.35,185.2,2.97,231.0,58700.0
20210101:1000,4.21,10.0,91.45,300.42,30.55,185.2,2.07,217.0,58700.0
20210101:1100,2.99,10.3,0.1,0.0,0.1,180.75,1.93,225.0,58720.0
20210101:1200,2.44,10.65,0.0,-0.0,0.0,177.25,1.45,216.0,58740.0
20210101:1300,2.31,11.2,0.0,-0.0,0.0,178.4,1.31,189.0,58760.0
20210101:1400,1.2,14.55,0.0,-0.0,0.0,178.25,1.31,177.0,58760.0
20210101:1500,-0.1,20.45,0.0,-0.0,0.0,176.5,1.31,175.0,58780.0
20210101:1600,-1.26,26.4,0.0,-0.0,0.0,176.1,1.38,172.0,58790.0
20210101:1700,-2.41,33.9,0.0,-0.0,0.0,175.7,1.31,170.0,58810.0
20210101:1800,-3.31,40.15,0.0,-0.0,0.0,172.6,1.24,166.0,58790.0
20210101:1900,-4.25,49.4,0.0,-0.0,0.0,174.55,1.24,159.0,58760.0
20210101:2000,-5.01,55.8,0.0,-0.0,0.0,173.75,1.1,154.0,58760.0
20210101:2100,-5.65,58.1,0.0,-0.0,0.0,178.6,1.03,149.0,58740.0
20210101:2200,-6.17,60.5,0.0,-0.0,0.0,172.25,0.97,148.0,58730.0
20210101:2300,-6.52,63.0,0.0,-0.0,0.0,171.25,0.9,148.0,58730.0
20210102:0000,-6.77,60.4,0.0,-0.0,0.0,172.05,0.83,145.0,58760.0
20210102:0100,-6.92,60.4,27.35,0.0,27.35,172.7,0.76,145.0,58820.0
20210102:0200,-5.64,55.7,317.45,1271.44,50.43,179.4,0.69,145.0,58880.0
20210102:0300,-2.27,42.2,501.25,1177.24,59.4,175.9,1.03,170.0,58940.0
20210102:0400,0.62,33.3,636.7,1139.8,64.6,184.6,1.52,191.0,58970.0
20210102:0500,2.74,22.2,705.95,1096.8,68.5,187.9,2.14,208.0,58940.0
20210102:0600,4.13,17.9,702.95,1038.81,71.65,189.85,3.17,229.0,58840.0
20210102:0700,4.72,13.3,635.8,987.94,63.1,190.4,3.03,233.0,58760.0
20210102:0800,5.05,11.05,492.85,857.86,64.75,188.5,3.24,236.0,58690.0
20210102:0900,4.77,11.6,307.65,696.06,49.25,195.65,2.9,237.0,58670.0
20210102:1000,3.94,11.9,97.25,345.85,26.35,184.6,1.86,218.0,58650.0
20210102:1100,2.69,14.2,0.15,0.0,0.15,180.75,1.79,224.0,58700.0
20210102:1200,2.08,12.15,0.0,-0.0,0.0,180.15,1.45,222.0,58720.0
20210102:1300,2.74,10.75,0.0,-0.0,0.0,181.3,1.31,208.0,58750.0
20210102:1400,2.02,12.15,0.0,-0.0,0.0,180.15,1.24,198.0,58760.0
20210102:1500,1.23,13.85,0.0,-0.0,0.0,179.2,1.24,191.0,58790.0
20210102:1600,0.26,18.0,0.0,-0.0,0.0,179.0,1.24,189.0,58830.0
